model,variant,hemisphere,season,b
ACCESS-ESM1-5,div1_QG_123,s,MJJ,-0.07289113221117291
ACCESS-ESM1-5,div1_QG_123,s,JJA,-0.05193200102436798
ACCESS-ESM1-5,div1_QG_123,s,JAS,-0.0550448577216923
ACCESS-ESM1-5,div1_QG_123,s,ASO,-0.03807502686545042
ACCESS-ESM1-5,div1_QG_123,s,SON,-0.03384223230220653
ACCESS-ESM1-5,div1_QG_123,s,OND,-0.03682398049113214
ACCESS-ESM1-5,div1_QG_123,s,NDJ,-0.030107753519594584
ACCESS-ESM1-5,div1_QG_gt3,n,DJF,-0.012332907198166685
ACCESS-ESM1-5,div1_QG_gt3,n,JFM,-0.006596354692659403
ACCESS-ESM1-5,div1_QG_gt3,n,FMA,0.0020910263565486194
ACCESS-ESM1-5,div1_QG_gt3,n,MAM,-0.01609135488031167
ACCESS-ESM1-5,div1_QG_gt3,n,AMJ,-0.03853166752083013
ACCESS-ESM1-5,div1_QG_gt3,n,MJJ,-0.06577708618742487
ACCESS-ESM1-5,div1_QG_gt3,n,JJA,-0.04726320545161567
ACCESS-ESM1-5,div1_QG_gt3,n,JAS,-0.018721401966253836
ACCESS-ESM1-5,div1_QG_gt3,n,ASO,0.014128271264112015
ACCESS-ESM1-5,div1_QG_gt3,n,SON,-0.022894941281254334
ACCESS-ESM1-5,div1_QG_gt3,n,OND,-0.012070876849040492
ACCESS-ESM1-5,div1_QG_gt3,n,NDJ,-0.02794017694451779
ACCESS-ESM1-5,div1_QG_gt3,s,DJF,0.08416727443531846
ACCESS-ESM1-5,div1_QG_gt3,s,JFM,0.06282020830061884
ACCESS-ESM1-5,div1_QG_gt3,s,FMA,0.060503719675448764
ACCESS-ESM1-5,div1_QG_gt3,s,MAM,0.08859516965420672
ACCESS-ESM1-5,div1_QG_gt3,s,AMJ,0.12323136336844309
ACCESS-ESM1-5,div1_QG_gt3,s,MJJ,0.1241902205654939
ACCESS-ESM1-5,div1_QG_gt3,s,JJA,0.0813954822103605
ACCESS-ESM1-5,div1_QG_gt3,s,JAS,0.10698772816110913
ACCESS-ESM1-5,div1_QG_gt3,s,ASO,0.1076187417030173
ACCESS-ESM1-5,div1_QG_gt3,s,SON,0.12036520184811161
ACCESS-ESM1-5,div1_QG_gt3,s,OND,0.10997073474431789
ACCESS-ESM1-5,div1_QG_gt3,s,NDJ,0.09625710523926535
BCC-CSM2-MR,div1_QG,n,DJF,0.1508981849524615
BCC-CSM2-MR,div1_QG,n,JFM,0.13234390774018326
BCC-CSM2-MR,div1_QG,n,FMA,0.09121959529593943
BCC-CSM2-MR,div1_QG,n,MAM,-0.0020625469746523434
BCC-CSM2-MR,div1_QG,n,AMJ,0.052527352287873315
BCC-CSM2-MR,div1_QG,n,MJJ,-0.03540447135834904
BCC-CSM2-MR,div1_QG,n,JJA,0.00796457906725789
BCC-CSM2-MR,div1_QG,n,JAS,0.03786825361357289
BCC-CSM2-MR,div1_QG,n,ASO,0.025945375050290737
BCC-CSM2-MR,div1_QG,n,SON,0.13259305902163615
BCC-CSM2-MR,div1_QG,n,OND,0.13449488003232826
BCC-CSM2-MR,div1_QG,n,NDJ,0.16213681103751104
BCC-CSM2-MR,div1_QG,s,DJF,0.08872010801950253
BCC-CSM2-MR,div1_QG,s,JFM,0.09094502414098668
BCC-CSM2-MR,div1_QG,s,FMA,0.07993268699087769
BCC-CSM2-MR,div1_QG,s,MAM,0.07484017807826629
BCC-CSM2-MR,div1_QG,s,AMJ,0.06721541864337824
BCC-CSM2-MR,div1_QG,s,MJJ,0.07923015908000972
BCC-CSM2-MR,div1_QG,s,JJA,0.08416443089504275
BCC-CSM2-MR,div1_QG,s,JAS,0.054335477213549144
BCC-CSM2-MR,div1_QG,s,ASO,0.028181429984389095
BCC-CSM2-MR,div1_QG,s,SON,0.07840528400287017
BCC-CSM2-MR,div1_QG,s,OND,0.0999737998963948
BCC-CSM2-MR,div1_QG,s,NDJ,0.09842480736836771
BCC-CSM2-MR,div1_QG_123,n,DJF,0.03297170662934022
BCC-CSM2-MR,div1_QG_123,n,JFM,0.030735707869587098
BCC-CSM2-MR,div1_QG_123,n,FMA,0.007235862326878112
BCC-CSM2-MR,div1_QG_123,n,MAM,-0.06993189669306
BCC-CSM2-MR,div1_QG_123,n,AMJ,-0.05679363663221411
BCC-CSM2-MR,div1_QG_123,n,MJJ,-0.06825849711338662
BCC-CSM2-MR,div1_QG_123,n,JJA,-0.042038907397158806
BCC-CSM2-MR,div1_QG_123,n,JAS,-0.05664221883430551
BCC-CSM2-MR,div1_QG_123,n,ASO,-0.1054682107265108
BCC-CSM2-MR,div1_QG_123,n,SON,-0.0057795886624111645
BCC-CSM2-MR,div1_QG_123,n,OND,0.013102245740517928
BCC-CSM2-MR,div1_QG_123,n,NDJ,0.04359017971921313
BCC-CSM2-MR,div1_QG_123,s,DJF,-0.030145636272878945
BCC-CSM2-MR,div1_QG_123,s,JFM,-0.025943598147535128
BCC-CSM2-MR,div1_QG_123,s,FMA,-0.032032267494602334
BCC-CSM2-MR,div1_QG_123,s,MAM,-0.023503293742374757
BCC-CSM2-MR,div1_QG_123,s,AMJ,-0.012980180232747624
BCC-CSM2-MR,div1_QG_123,s,MJJ,-0.04903954829101176
BCC-CSM2-MR,div1_QG_123,s,JJA,-0.08844633104372307
BCC-CSM2-MR,div1_QG_123,s,JAS,-0.11907803852603006
BCC-CSM2-MR,div1_QG_123,s,ASO,-0.11815240195900656
BCC-CSM2-MR,div1_QG_123,s,SON,-0.03808938506122455
BCC-CSM2-MR,div1_QG_123,s,OND,-0.02416245617285171
BCC-CSM2-MR,div1_QG_123,s,NDJ,-0.02435581742412152
BCC-CSM2-MR,div1_QG_gt3,n,DJF,0.11792647832312124
BCC-CSM2-MR,div1_QG_gt3,n,JFM,0.10160819987059617
BCC-CSM2-MR,div1_QG_gt3,n,FMA,0.08398373296906132
BCC-CSM2-MR,div1_QG_gt3,n,MAM,0.06786934971840765
BCC-CSM2-MR,div1_QG_gt3,n,AMJ,0.10932098892008744
