dataset,hemisphere,season,variant,tau_fit_3_original,tau_autocorr_efold_ucomp_simpson,tau_autocorr_efold_div1_QG_simpson,diff_new_minus_old,pct_diff
jra55,s,MJJ,va,7.056520042512877,9.30221337502267,1.074781286283582,2.245693332509794,31.824374039616373
jra55,s,JJA,native,8.142651637648074,9.28791602574318,1.0137041657171457,1.1452643880951054,14.06500534543197
jra55,s,JJA,va,7.967048100450291,8.316961358629976,1.0739731115755429,0.34991325817968555,4.392006346238938
jra55,s,JAS,native,6.674505911946399,10.351406523354724,1.0532039241352038,3.6769006114083247,55.088731059885724
jra55,s,JAS,va,8.001333597915696,9.421505600070617,1.1106555224400347,1.4201720021549207,17.74919124138091
jra55,s,ASO,native,7.278495630171773,9.625830081358371,0.9767260797893303,2.3473344511865983,32.25026943007454
jra55,s,ASO,va,8.78775986565972,8.725593090653843,1.0226293154741601,-0.06216677500587586,-0.707424599172395
jra55,s,SON,native,6.221026072680848,11.475651176524366,1.0101277953444785,5.254625103843518,84.46556954517189
jra55,s,SON,va,6.362855305720031,11.226604080583982,1.030641901930617,4.863748774863951,76.43971992403435
jra55,s,OND,native,5.334431659579287,13.917495525344528,0.9703581511759011,8.58306386576524,160.89931249474785
jra55,s,OND,va,6.925229604685446,13.627936523319303,0.9577510181745822,6.702706918633857,96.78678255084806
jra55,s,NDJ,native,6.06717304221607,13.29324389227246,0.9880985112535344,7.226070850056391,119.10111677673572
jra55,s,NDJ,va,8.611004348360293,13.265805619356966,0.9745639572373557,4.654801270996673,54.056426900806755
